슬혜씨.. 벗으려면 제대로..,1
내용도 없고 느낌도 없고 공기같은 영화,1
감독 이런 영화로 인기끌줄 알았나 어차피 망할게 뻔히 보이는데 왜 이딴영화만드냐,1
이런 변태같은 스토리는 흥행하기 힘들다 이딴내용으로 인기끌려고 했나,1
평점보다 더 구리다... 만든 목적이 뭘까? 한번도 안해본 사람이 언제부터 흉이었지?,1
감독이 누군지정말 궁금함 배경이며 캐릭터며 옛날틱하고 시간아깝고 돈 아깝고 제목만자극적이면 다인가,1
알 수 없는 영화....!!,1
장르가 먼지도 모르겠구 황우슬혜 몸을 너무 아껴서 아쉽네,1
시간 떼우기용으로도 별로였던 영화.,1
촬영 장면등이 싸구려 영화같은 느낌이 난다랄까... 비디오캠으로 찍었나..,1
제목과 다르게 해본여자 같은데?,1
뭘얘기하고싶은 영화인가요?,1
별도아깝움드럽게잼때가리읎음 돈만아까움OOO영화왜만듬?더랏나 아짜증나,1
이따구 영화를 왜 만드는겨?,1
역시 안해본여자보단 해본여자다,1
10자이상 작성하기도 아까운영화 그러나 1점을주려면 어쩔수없음,1
할 말이 없다. 뭔 생각으로 만든거지?,1
"정말 이러시면 안되는거잖아요.. ─━,,──━ㆀ",1
헐랭 .. 한마디하고싶자는~~~~,1
"고등학생들이 만든 영화보다 못할꺼같은데...야하지도 않고, 재밌지도 않고, 감동도 없고, 무언가 임팩트도 없고...관객을 무시하는 듯한 영화",1
비디오대여점이 없으니~~~,1
내가만들어도이거보단.잘만들듯.,1
이게 평점이 3점대? 1점대가 적당하다,1
"맛있는섹스 그리고 사랑,연애의 목적,청춘처럼 화끈하게 야하던가 하녀처럼 그리 야하지않더라도 내용이 있던가 이건 전혀 청불도 아닌데 청불이고 내용도 없고..",1
반점 해장국 반점 열자이상 등록,1
성에 대한 호기심을 자극하는 제목과는 따로 노는 내용과 전개,1
이건..알바도 반박불가 ㅋㅋ,1
감독이나배우나  투자한 제작사나  배급사나  무슨생각인지...,1
평점 자체가 우습다는 생각 연기도 연기지만.. 스토리도 진부하고 그스토리를 가지고 만든 감독도 한심하다..,1
아무리 영화라지만 정서상으로나 말도안되는 스토리네,1
하시간아까워내눈...내시간...,1
아버지가 돌아가셨는데....이야~이건뭐   참....이영화  정체를밝켜라!!!!,1
돈내고 보면 땅을 치고 후회함 진심임,1
아... 47분봤는데 진심 재미없다... 뭘 보여주고 싶은거냐,1
무슨말이 더 필요할까나...,1
아.. 평점 1점 드리고 갑니다 아..물론 영화는 안봤습니다 한번도 안해본 여자라는 제목은..SF물보다도 현실성이 없군요..차라리 촉수괴물 나오고 킹콩이나와서 건물을 때려부수는것이 현실성 있겠습니다...그럼이만,1
스토리라인 자체도 별로 맘에 안드는데다 배우들 연기가 너무개판이라 도저히 볼수가 없어서 꺼버렸다.. 황우슬혜 연기 정말 안느는구나 싶었다.,1
시덥잖은 이야기면 웃기기라도 했어야지,1
이야기의 주제랑 너무 많이 벗어난 것 같다.,1
무색 무취(無色無臭),1
황우슬혜는 발음 연습 안 하나? 혀짧은 걸 매력(?)으로 강하게 어필할 모양?,1
평점 보고 볼껄~ 시간 아깝 ㅠㅠ,1
두여배우도 배역에 안맞아 보이고 제목만 자극적인 평범이하,1
개쓉노잼 차라리 이시간에 ㅇㄷ보고 ㄸ을 쳐라 황우슬혜 벗지도않음,1
아.... 너무하네요.... 대학생 졸업작품 보는 기분이었습니다..,1
아놔 영화 영자도 모르는 내가 만들어도 이것보단 낫겠다. ^^; 이런거 만들거면 안 만드니보다 못한거야. 좀 한국 영화 수준 후퇴 시키지 좀 말자...,1
보고잇는거 자체가 시간낭비다. 이러니까 상영관도 없이 개봉ㅂㅂ 햇지. 영상전환 하며 연기하며 스토리하며 걍 독립영화보다도 못함. 대학교 영화동아리가 찍은영화라해도믿을정도로 허접OOO,1
황우슬혜의 어수룩한 매력의 캐릭터가 중심을 잡고있지만 맨 처음 콘셉트와는 전혀 무관한 방향으로 흘러가는 애매모호한 전개,1
웃기지도 안코 야하지도 안코  3류들이  모여 만든 3류영화,1
1점도 아깝습니다.. 공감좀..,1
개졸작,1
시리즈는 거듭됨에 따라 식상함이 느껴지지만 왠지 모를 중독성이...,1
폴리스 아카데미3-재탕,1
시걸이형한티 총잡는 자세부터갈켜줘라 ㅋㅋㅋㅋ,1
대체 돈이 얼마나 남아돌아야 이런걸 찍을 수 있는겐가.,1
"ㄱㅐ시ㄹㅔ기 영화, 별 한개도 아깝다",1
시갈이 왜 3류 액션배우인지 다시 한번 확인하고싶은 사람 보세요,1
시걸이 허접액션 그만 좀 찍어라 어휴~,1
언더시즈 이후로 몇OO동안 몇십편의 영화가 전부 쥣망이네..ㅋㅋ이형님 왜이리 됐냐..ㅠ.ㅠ,1
재미없음,1
기대를 충족해서 늘 그렇듯 흔쾌하게 만족하다.,1
시간이 아깝던 쓰레기영화,1
황당무개한 스토리...,1
네래 이 종간나 색히들 쏘레기 영화에 원자탄을 까주갔어,1
남친이랑 볼거없어서 젤가까운게 이거길래 봤는데 자살하싶었음,1
ㅠ저누너너터냐냐너너어 쓰래기!?,1
비뚤어진 시각교묘한 역사왜곡,1
재미없어서잤습니다.,1
보다가 잔영화 진짜 오랜만이였떤걸로 기억..,1
시나리오가 뭐 이래!!! 짜증만 가득!!!,1
너무 영화에서 욕이 절반이엇던것 같음.  몰입도안되고 별로..,1
내가 본 로버트 드니로 작품중 제일 재미없었다. 엔니오 모리꼬네의 음악만 기억남는다.,1
원주민에 입장을 본 적이 없다,1
싫다는데 억지로 먹이고 먹은 사람은 가만히있는데 옆사람들이 서로 옳다 맞다 싸우는 내용. 아 기독교 영화는 왜 항상 자기들이 옳다는 생각에서만 다루어 지는 것인가...,1
내가  보아도 서구중심적인 부분들이 많다.평론가는 평론가의 입장에서 각자의 평을 내놓는것이다 그것을 편견과 오해를 심어 내던지는 당신들의 생각이 전화하는 점이 독단적인 시각이 편견이라 생각한다. 비판과 화합을 보는 이가 없는 것이 마음아프다,1
존트라볼타 디스코 잘춘다,1
저시절을 안살아서그럴까?춤도안멋있고 구성과 흐름도 유려하지않다 평점넘높음..,1
제작시기를 감안하더라도 너무 안이하게 제작된 영화,1
존트라 볼타 혼자 춤추는 장면 1분 빼면 볼게없다. 추억의 영화니까 뭐.,1
클린트 이스트우드 영 허접,1
"지나친 엉성, 멍청, 유치함에 놀라 팔짝 뛰며 화를 내다 기어코 속이 뒤집히다.",1
존 트라볼타 때문에 2점,1
날라리는 멋진사람이고 순진한 사람은 바보로 묘사한 영화,1
"문화가 달라서 이질감이 들긴 하지만, 노래하고 춤추는 장면은 신나",1
